split,scenario,axis,count,MAE,RMSE,R2
test,S0,motor1,224,0.390260767,0.508488874,1
test,S0,motor2,224,0.506308946,0.63085578,1
test,S0,motor3,224,0.434316983,0.535243696,1
test,S0,motor4,224,0.326543877,0.409338696,1
test,S1,motor1,224,2.39856564,2.96959172,0.983118491
test,S1,motor2,224,2.74559594,3.28759539,0.979179981
test,S1,motor3,224,1.91510592,2.28981209,0.989770624
test,S1,motor4,224,2.57413078,3.14046642,0.979797383
test,S2,motor1,224,1.2853605,1.50993569,0.995939052
test,S2,motor2,224,1.02382345,1.25283137,0.997414663
test,S2,motor3,224,1.07068225,1.28764597,0.996838508
test,S2,motor4,224,1.05836502,1.31502757,0.99647268
test,S3,motor1,224,0.827679918,1.03364368,0.998087328
test,S3,motor2,224,0.739236509,1.02393491,0.998008092
test,S3,motor3,224,0.645305354,0.815914208,0.998694502
test,S3,motor4,224,0.824937508,1.0646894,0.997865942
train,S0,motor1,896,0.404903682,0.520300919,1
train,S0,motor2,896,0.513465483,0.643339193,1
train,S0,motor3,896,0.42135926,0.527492651,1
train,S0,motor4,896,0.333646307,0.421792585,1
train,S1,motor1,896,2.34979689,2.91825897,0.984009097
train,S1,motor2,896,2.7160033,3.35137788,0.979056404
train,S1,motor3,896,1.84402714,2.28007723,0.990319284
train,S1,motor4,896,2.61813006,3.1877687,0.981337194
train,S2,motor1,896,1.36119902,1.62010228,0.99501196
train,S2,motor2,896,1.00591599,1.24157134,0.997004952
train,S2,motor3,896,1.05259709,1.27702915,0.996950236
train,S2,motor4,896,1.1526542,1.44045956,0.996183476
train,S3,motor1,896,0.808825612,1.01043133,0.998061902
train,S3,motor2,896,0.723722131,0.94464835,0.998331604
train,S3,motor3,896,0.66211764,0.832661791,0.998713787
train,S3,motor4,896,0.770493133,1.00851708,0.998094049
