scenario,axis,count,MAE,RMSE,R2,HI_min,HI_max
S0,motor1,12000,3.1190818,3.83182128,1,1,1
S0,motor2,12000,3.1190818,3.83182128,1,1,1
S0,motor3,12000,3.1190818,3.83182128,1,1,1
S0,motor4,12000,3.1190818,3.83182128,1,1,1
S1,motor1,12000,15.6050208,19.1934038,0.3091669,0.822222222,0.997777778
S1,motor2,12000,15.6050208,19.1934038,0.3091669,0.822222222,0.997777778
S1,motor3,12000,15.6050208,19.1934038,0.3091669,0.822222222,0.997777778
S1,motor4,12000,15.6050208,19.1934038,0.3091669,0.822222222,0.997777778
S2,motor1,12000,4.8527756,6.10110141,0.930195146,0.555555556,0.994444444
S2,motor2,12000,4.8527756,6.10110141,0.930195146,0.555555556,0.994444444
S2,motor3,12000,4.8527756,6.10110141,0.930195146,0.555555556,0.994444444
S2,motor4,12000,4.8527756,6.10110141,0.930195146,0.555555556,0.994444444
S3,motor1,12000,1.76367096,2.40580466,0.989145999,0.222222222,0.990277778
S3,motor2,12000,1.76367096,2.40580466,0.989145999,0.222222222,0.990277778
S3,motor3,12000,1.76367096,2.40580466,0.989145999,0.222222222,0.990277778
S3,motor4,12000,1.76367096,2.40580466,0.989145999,0.222222222,0.990277778
