time,run_id,scenario,cycle,segment,phase,layer,item,axis,q,omega,accel,torque,carrying,source_file
162.4,long_live_01,S0,1,1,lift_before_pick,4,water_bundle_2,motor1,7.62604352e-05,-0.0001522252,-0.00304450399,-12.4219279,0,long_live_01.jsonl
162.4,long_live_01,S0,1,1,lift_before_pick,4,water_bundle_2,motor2,0.609417109,-0.0112773796,-0.225547592,2699.12167,0,long_live_01.jsonl
162.4,long_live_01,S0,1,1,lift_before_pick,4,water_bundle_2,motor3,-0.345763732,-0.000796906929,-0.0159381386,891.024359,0,long_live_01.jsonl
162.4,long_live_01,S0,1,1,lift_before_pick,4,water_bundle_2,motor4,-8.03855417e-05,0.000262897407,0.00525794814,-0.000160794967,0,long_live_01.jsonl
162.6,long_live_01,S0,1,1,lift_before_pick,4,water_bundle_2,motor1,6.60703361e-05,9.19785403e-06,0.000807115268,-17.7045725,0,long_live_01.jsonl
162.6,long_live_01,S0,1,1,lift_before_pick,4,water_bundle_2,motor2,0.576418403,-0.191782417,-0.902525189,3167.19861,0,long_live_01.jsonl
162.6,long_live_01,S0,1,1,lift_before_pick,4,water_bundle_2,motor3,-0.3461869,-0.008781977,-0.0399253504,954.366125,0,long_live_01.jsonl
162.6,long_live_01,S0,1,1,lift_before_pick,4,water_bundle_2,motor4,2.58159031e-06,0.00118525194,0.00461177266,-0.000306848163,0,long_live_01.jsonl
162.85,long_live_01,S0,1,1,lift_before_pick,4,water_bundle_2,motor1,4.4325047e-05,5.01529639e-05,0.00016382044,-7.59439713,0,long_live_01.jsonl
162.85,long_live_01,S0,1,1,lift_before_pick,4,water_bundle_2,motor2,0.4683844,-0.452789373,-1.04402782,2490.59275,0,long_live_01.jsonl
162.85,long_live_01,S0,1,1,lift_before_pick,4,water_bundle_2,motor3,-0.347172071,-0.0108218883,-0.00815964503,837.636024,0,long_live_01.jsonl
162.85,long_live_01,S0,1,1,lift_before_pick,4,water_bundle_2,motor4,4.35680992e-07,0.00284316015,0.00663163286,3.86618613e-05,0,long_live_01.jsonl
163.1,long_live_01,S0,1,1,lift_before_pick,4,water_bundle_2,motor1,1.57809805e-05,1.29857362e-05,-0.000148668911,13.8846136,0,long_live_01.jsonl
163.1,long_live_01,S0,1,1,lift_before_pick,4,water_bundle_2,motor2,0.297373907,-0.408314763,0.177898438,332.209391,0,long_live_01.jsonl
163.1,long_live_01,S0,1,1,lift_before_pick,4,water_bundle_2,motor3,-0.348234542,-0.00392955735,0.0275693236,785.586119,0,long_live_01.jsonl
163.1,long_live_01,S0,1,1,lift_before_pick,4,water_bundle_2,motor4,1.15641083e-05,-0.00236412045,-0.0208291224,0.000203667674,0,long_live_01.jsonl
163.3,long_live_01,S0,1,1,lift_before_pick,4,water_bundle_2,motor1,3.11609722e-06,-9.64281499e-06,-0.000113142756,13.4379567,0,long_live_01.jsonl
163.3,long_live_01,S0,1,1,lift_before_pick,4,water_bundle_2,motor2,0.21474663,-0.0390425707,1.84636096,229.387378,0,long_live_01.jsonl
163.3,long_live_01,S0,1,1,lift_before_pick,4,water_bundle_2,motor3,-0.348487457,6.35753862e-05,0.0199656637,845.715314,0,long_live_01.jsonl
163.3,long_live_01,S0,1,1,lift_before_pick,4,water_bundle_2,motor4,-8.08194705e-05,-0.000298081235,0.0103301961,-0.000666217465,0,long_live_01.jsonl
163.65,long_live_01,S0,1,1,lift_before_pick,4,water_bundle_2,motor1,0.000131568071,0.000101143719,0.000316532955,3.03462032,0,long_live_01.jsonl
163.65,long_live_01,S0,1,1,lift_before_pick,4,water_bundle_2,motor2,0.209364829,-0.000816692847,0.109216794,619.035467,0,long_live_01.jsonl
163.65,long_live_01,S0,1,1,lift_before_pick,4,water_bundle_2,motor3,-0.347036,0.000437761183,0.00106910228,834.983095,0,long_live_01.jsonl
163.65,long_live_01,S0,1,1,lift_before_pick,4,water_bundle_2,motor4,-8.69392954e-05,-0.000316505875,-5.26418302e-05,-0.00015593243,0,long_live_01.jsonl
163.85,long_live_01,S0,1,2,pick,4,water_bundle_2,motor1,0.000133887084,-6.15570546e-06,-0.000536497124,3.70457481,0,long_live_01.jsonl
163.85,long_live_01,S0,1,2,pick,4,water_bundle_2,motor2,0.21128452,0.0136616065,0.0723914968,520.641345,0,long_live_01.jsonl
163.85,long_live_01,S0,1,2,pick,4,water_bundle_2,motor3,-0.326941218,0.122777768,0.611700035,649.490628,0,long_live_01.jsonl
163.85,long_live_01,S0,1,2,pick,4,water_bundle_2,motor4,-3.86762376e-05,-0.00133309327,-0.005082937,-9.83731011e-05,0,long_live_01.jsonl
164.1,long_live_01,S0,1,2,pick,4,water_bundle_2,motor1,0.000128202002,-4.52565058e-05,-0.000156403202,5.11178063,0,long_live_01.jsonl
164.1,long_live_01,S0,1,2,pick,4,water_bundle_2,motor2,0.226067531,0.0656324844,0.207883512,540.083238,0,long_live_01.jsonl
164.1,long_live_01,S0,1,2,pick,4,water_bundle_2,motor3,-0.228776217,0.419742167,1.18785759,604.226086,0,long_live_01.jsonl
164.1,long_live_01,S0,1,2,pick,4,water_bundle_2,motor4,-6.07947309e-05,-0.0016906693,-0.00143030409,-1.00928245e-05,0,long_live_01.jsonl
164.3,long_live_01,S0,1,2,pick,4,water_bundle_2,motor1,0.00011205468,-0.000111241561,-0.000329925278,4.83290239,0,long_live_01.jsonl
164.3,long_live_01,S0,1,2,pick,4,water_bundle_2,motor2,0.261038339,0.12917922,0.317733677,785.625175,0,long_live_01.jsonl
164.3,long_live_01,S0,1,2,pick,4,water_bundle_2,motor3,-0.0876178481,0.736584213,1.58421023,573.031521,0,long_live_01.jsonl
164.3,long_live_01,S0,1,2,pick,4,water_bundle_2,motor4,-6.84383832e-05,-0.00138482129,0.00152924002,-0.000140844778,0,long_live_01.jsonl
164.5,long_live_01,S0,1,2,pick,4,water_bundle_2,motor1,7.68380068e-05,-0.000137470325,-0.000131143819,3.27814061,0,long_live_01.jsonl
164.5,long_live_01,S0,1,2,pick,4,water_bundle_2,motor2,0.315102109,0.187651898,0.292363389,1344.53682,0,long_live_01.jsonl
164.5,long_live_01,S0,1,2,pick,4,water_bundle_2,motor3,0.259395384,0.970461401,1.16938594,621.224859,0,long_live_01.jsonl
164.5,long_live_01,S0,1,2,pick,4,water_bundle_2,motor4,-3.60920395e-05,-0.00082363007,0.00280595612,-0.000272766784,0,long_live_01.jsonl
